000001.XSHG,上证指数,1991-07-15,2005-01-04,SZZS
000002.XSHG,A股指数,1992-02-21,2005-01-04,AGZS
000003.XSHG,B股指数,1992-02-21,2005-01-04,BGZS
000004.XSHG,工业指数,1993-05-03,2005-01-04,GYZS
000005.XSHG,商业指数,1993-05-03,2005-01-04,SYZS
000006.XSHG,地产指数,1993-05-03,2005-01-04,DCZS
000007.XSHG,公用指数,1993-05-03,2005-01-04,GYZS
000008.XSHG,综合指数,1993-05-03,2005-01-04,ZHZS
000009.XSHG,上证380,2010-11-29,2010-11-29,SZ380
000010.XSHG,上证180,2002-07-01,2005-01-04,SZ180
000011.XSHG,基金指数,2000-06-09,2005-01-04,JJZS
000012.XSHG,国债指数,2003-01-02,2005-01-04,GZZS
000013.XSHG,上证企业债指数,2003-06-09,2005-01-04,QZZS
000015.XSHG,红利指数,2005-01-04,2005-01-04,HLZS
000016.XSHG,上证50,2004-01-02,2005-01-04,SZ50
000017.XSHG,新综指,2006-01-04,2006-01-04,XZZ
000018.XSHG,180金融,2007-12-10,2007-12-10,180JR
000019.XSHG,治理指数,2008-01-02,2008-01-02,ZLZS
000020.XSHG,中型综指,2008-05-12,2008-05-12,ZXZZ
000021.XSHG,180治理,2008-09-10,2008-09-10,180ZL
000022.XSHG,上证公司债指数,2008-11-19,2008-11-19,HGSZ
000025.XSHG,180基建,2008-12-15,2008-12-15,180JJ
000026.XSHG,180资源,2008-12-15,2008-12-15,180ZY
000027.XSHG,180运输,2008-12-15,2008-12-15,180YS
000028.XSHG,180成长,2009-01-09,2009-01-09,180CZ
000029.XSHG,180价值,2009-01-09,2009-01-09,180JZ
000030.XSHG,180R成长,2009-01-09,2009-01-09,180RCZ
000031.XSHG,180R价值,2009-01-09,2009-01-09,180RJZ
000032.XSHG,上证能源,2009-01-09,2009-01-09,SZNY
000033.XSHG,上证材料,2009-01-09,2009-01-09,SZCL
000034.XSHG,上证工业,2009-01-09,2009-01-09,SZGY
000035.XSHG,上证可选,2009-01-09,2009-01-09,SZKX
000036.XSHG,上证消费,2009-01-09,2009-01-09,SZXF
000037.XSHG,上证医药,2009-01-09,2009-01-09,SZYY
000038.XSHG,上证金融,2009-01-09,2009-01-09,SZJR
000039.XSHG,上证信息,2009-01-09,2009-01-09,SZXX
000040.XSHG,上证电信,2009-01-09,2009-01-09,SZDX
000041.XSHG,上证公用,2009-01-09,2009-01-09,SZGY
000042.XSHG,上证央企,2009-03-30,2009-03-30,SZYQ
000043.XSHG,超大盘,2009-04-23,2009-04-23,CDP
000044.XSHG,上证中盘,2009-07-03,2009-07-03,SZZP
000045.XSHG,上证小盘,2009-07-03,2009-07-03,SZXP
000046.XSHG,上证中小,2009-07-03,2009-07-03,SZZX
000047.XSHG,上证全指,2009-07-03,2009-07-03,SZQZ
000048.XSHG,责任指数,2009-08-05,2009-08-05,ZRZS
000049.XSHG,上证民企,2009-08-25,2009-08-25,SZMQ
000050.XSHG,50等权,2011-01-04,2011-01-04,50DQ
000051.XSHG,180等权,2011-05-24,2011-05-24,180DQ
000052.XSHG,50基本,2012-01-09,2012-01-09,50JB
000053.XSHG,180基本,2012-01-09,2012-01-09,180JB
000054.XSHG,上证海外,2010-01-04,2010-01-04,SZHW
000055.XSHG,上证地企,2010-01-04,2010-01-04,SZDQ
000056.XSHG,上证国企,2010-01-04,2010-01-04,SZGQ
000057.XSHG,全指成长,2010-01-04,2010-01-04,QZCZ
000058.XSHG,全指价值,2010-01-04,2010-01-04,QZJZ
000059.XSHG,全R成长,2010-01-04,2010-01-04,QRCZ
000060.XSHG,全R价值,2010-01-04,2010-01-04,QRJZ
000061.XSHG,沪企债30,2010-01-04,2010-01-04,HQZ30
000062.XSHG,上证沪企,2010-01-04,2010-01-04,SZHQ
000063.XSHG,上证周期,2010-02-03,2010-02-03,SZZQ
000064.XSHG,非周期,2010-02-03,2010-02-03,FZQ
000065.XSHG,上证龙头,2010-02-09,2010-02-09,SZLT
000066.XSHG,上证商品,2010-04-30,2010-04-30,SZSP
000067.XSHG,上证新兴,2010-04-30,2010-04-30,SZXX
000068.XSHG,上证资源,2010-05-28,2010-05-28,SZZY
000069.XSHG,消费80,2010-05-28,2010-05-28,XF80
000070.XSHG,能源等权,2010-08-18,2010-08-18,NYDQ
000071.XSHG,材料等权,2010-08-18,2010-08-18,CLDQ
000072.XSHG,工业等权,2010-08-18,2010-08-18,GYDQ
000073.XSHG,可选等权,2010-08-18,2010-08-18,KXDQ
000074.XSHG,消费等权,2010-08-18,2010-08-18,XFDQ
000075.XSHG,医药等权,2010-08-18,2010-08-18,YYDQ
000076.XSHG,金融等权,2010-08-18,2010-08-18,JRDQ
000077.XSHG,信息等权,2010-08-18,2010-08-18,XXDQ
000078.XSHG,电信等权,2010-08-18,2010-08-18,DXDQ
000079.XSHG,公用等权,2010-08-18,2010-08-18,GYDQ
000090.XSHG,上证流通,2010-12-02,2010-12-02,SZLT
000091.XSHG,沪财中小,2011-04-06,2011-04-06,HCZX
000092.XSHG,资源50,2011-05-10,2011-05-10,ZY50
000093.XSHG,180分层,2011-05-24,2011-05-24,180FC
000094.XSHG,上证上游,2011-05-10,2011-05-10,SZSY
000095.XSHG,上证中游,2011-05-10,2011-05-10,SZZY
000096.XSHG,上证下游,2011-05-10,2011-05-10,SZXY
000097.XSHG,高端装备,2011-05-24,2011-05-24,GDZB
000098.XSHG,上证F200,2011-07-01,2011-07-01,SZF200
000099.XSHG,上证F300,2011-07-01,2011-07-01,SZF300
000100.XSHG,上证F500,2011-07-01,2011-07-01,SZF500
000101.XSHG,5年信用,2013-04-01,2013-04-01,5NXY
000102.XSHG,沪投资品,2011-06-13,2011-06-13,HTZP
000103.XSHG,沪消费品,2011-06-13,2011-06-13,HXFP
000104.XSHG,380能源,2011-06-13,2011-06-13,380NY
000105.XSHG,380材料,2011-06-13,2011-06-13,380CL
000106.XSHG,380工业,2011-06-13,2011-06-13,380GY
000107.XSHG,380可选,2011-06-13,2011-06-13,380KX
000108.XSHG,380消费,2011-06-13,2011-06-13,380XF
000109.XSHG,380医药,2011-06-13,2011-06-13,380YY
000110.XSHG,380金融,2011-06-13,2011-06-13,380JR
000111.XSHG,380信息,2011-06-13,2011-06-13,380XX
000112.XSHG,380电信,2011-06-13,2011-06-13,380DX
000113.XSHG,380公用,2011-06-13,2011-06-13,380GY
000114.XSHG,持续产业,2011-08-22,2011-08-22,CXCY
000115.XSHG,380等权,2011-08-12,2011-08-12,380DQ
000116.XSHG,信用100,2013-02-26,2013-02-26,XY100
000117.XSHG,380成长,2011-10-18,2011-10-18,380CZ
000118.XSHG,380价值,2011-10-18,2011-10-18,380JZ
000119.XSHG,380R成长,2011-10-18,2011-10-18,380RCZ
000120.XSHG,380R价值,2011-10-18,2011-10-18,380RJZ
000121.XSHG,医药主题,2011-10-18,2011-10-18,YYZT
000122.XSHG,农业主题,2011-10-18,2011-10-18,NYZT
000123.XSHG,180动态,2013-02-08,2013-02-08,180DT
000125.XSHG,180稳定,2013-02-08,2013-02-08,180WD
000126.XSHG,消费50,2011-12-09,2011-12-09,XF50
000128.XSHG,380基本,2012-01-09,2012-01-09,380JB
000129.XSHG,180波动,2012-01-09,2012-01-09,180BD
000130.XSHG,380波动,2012-01-09,2012-01-09,380BD
000131.XSHG,上证高新,2012-02-10,2012-02-10,SZGX
000132.XSHG,上证100,2012-04-20,2012-04-20,SZ100
000133.XSHG,上证150,2012-04-20,2012-04-20,SZ150
000134.XSHG,上证银行,2012-05-29,2012-05-29,SZYH
000135.XSHG,180高贝,2012-08-06,2012-08-06,180GB
000136.XSHG,180低贝,2012-08-06,2012-08-06,180DB
000137.XSHG,380高贝,2012-08-06,2012-08-06,380GB
000138.XSHG,380低贝,2012-08-06,2012-08-06,380DB
000139.XSHG,上证转债,2012-09-12,2012-09-12,SZZZ
000141.XSHG,380动态,2013-02-08,2013-02-08,380DT
000142.XSHG,380稳定,2013-02-08,2013-02-08,380WD
000145.XSHG,优势资源,2012-05-29,2012-05-29,YSZY
000146.XSHG,优势制造,2012-05-29,2012-05-29,YSZZ
000147.XSHG,优势消费,2012-05-29,2012-05-29,YSXF
000148.XSHG,消费领先,2012-05-29,2012-05-29,XFLX
000149.XSHG,180红利,2012-07-20,2012-07-20,180HL
000150.XSHG,380红利,2012-07-20,2012-07-20,380HL
000151.XSHG,上国红利,2012-07-20,2012-07-20,SGHL
000152.XSHG,上央红利,2012-07-20,2012-07-20,SYHL
000153.XSHG,上民红利,2012-07-20,2012-07-20,SMHL
000155.XSHG,市值百强,2012-07-20,2012-07-20,SZBQ
000158.XSHG,上证环保,2012-09-25,2012-09-25,SZHB
000159.XSHG,上证沪股通指数,2014-11-17,2014-11-17,HGT
