000001,平安银行,PAYH
000001.XSHG,上证指数,SZZS
000002,万科A,WKA
000002.XSHG,A股指数,AGZS
000003.XSHG,B股指数,BGZS
000004,ST国华,STGH
000004.XSHG,工业指数,GYZS
000005,ST星源,STXY
000005.XSHG,商业指数,SYZS
000006,深振业A,SZYA
000006.XSHG,地产指数,DCZS
000007,*ST全新,STQX
000007.XSHG,公用指数,GYZS
000008,神州高铁,SZGT
000008.XSHG,综合指数,ZHZS
000009,中国宝安,ZGBA
000009.XSHG,上证380,SZ380
000010,美丽生态,MLST
000010.XSHG,上证180,SZ180
000011,深物业A,SWYA
000011.XSHG,基金指数,JJZS
000012,南玻A,NBA
000012.XSHG,国债指数,GZZS
000013.XSHG,上证企业债指数,QZZS
000014,沙河股份,SHGF
000015.XSHG,红利指数,HLZS
000016,深康佳A,SKJA
000016.XSHG,上证50,SZ50
000017,深中华A,SZHA
000017.XSHG,新综指,XZZ
000018.XSHG,180金融,180JR
000019,深粮控股,SLKG
000019.XSHG,治理指数,ZLZS
000020,深华发A,SHFA
000020.XSHG,中型综指,ZXZZ
000021,深科技,SKJ
000021.XSHG,180治理,180ZL
000022.XSHG,上证公司债指数,HGSZ
000023,ST深天,STST
000025,特力A,TLA
000025.XSHG,180基建,180JJ
000026,飞亚达,FYD
000026.XSHG,180资源,180ZY
000027,深圳能源,SZNY
000027.XSHG,180运输,180YS
000028,国药一致,GYYZ
000028.XSHG,180成长,180CZ
000029,深深房A,SSFA
000029.XSHG,180价值,180JZ
000030,富奥股份,FAGF
000030.XSHG,180R成长,180RCZ
000031,大悦城,DYC
000031.XSHG,180R价值,180RJZ
000032,深桑达A,SSDA
000032.XSHG,上证能源,SZNY
000033.XSHG,上证材料,SZCL
000034,神州数码,SZSM
000034.XSHG,上证工业,SZGY
000035,中国天楹,ZGTY
000035.XSHG,上证可选,SZKX
000036,华联控股,HLKG
000036.XSHG,上证消费,SZXF
000037,深南电A,SNDA
000037.XSHG,上证医药,SZYY
000038,*ST大通,STDT
000038.XSHG,上证金融,SZJR
000039,中集集团,ZJJT
000039.XSHG,上证信息,SZXX
000040,东旭蓝天,DXLT
000040.XSHG,上证电信,SZDX
000041.XSHG,上证公用,SZGY
000042,中洲控股,ZZKG
000042.XSHG,上证央企,SZYQ
000043.XSHG,超大盘,CDP
000044.XSHG,上证中盘,SZZP
000045,深纺织A,SFZA
000045.XSHG,上证小盘,SZXP
000046,*ST泛海,STFH
000046.XSHG,上证中小,SZZX
000047.XSHG,上证全指,SZQZ
000048,京基智农,JJZN
000048.XSHG,责任指数,ZRZS
000049,德赛电池,DSDC
000049.XSHG,上证民企,SZMQ
000050,深天马A,STMA
000050.XSHG,50等权,50DQ
000051.XSHG,180等权,180DQ
000052.XSHG,50基本,50JB
000053.XSHG,180基本,180JB
000054.XSHG,上证海外,SZHW
000055,方大集团,FDJT
000055.XSHG,上证地企,SZDQ
000056,皇庭国际,HTGJ
000056.XSHG,上证国企,SZGQ
000057.XSHG,全指成长,QZCZ
000058,深赛格,SSG
000058.XSHG,全指价值,QZJZ
000059,华锦股份,HJGF
000059.XSHG,全R成长,QRCZ
000060,中金岭南,ZJLN
000060.XSHG,全R价值,QRJZ
000061,农产品,NCP
000061.XSHG,沪企债30,HQZ30
000062,深圳华强,SZHQ
000062.XSHG,上证沪企,SZHQ
000063,中兴通讯,ZXTX
000063.XSHG,上证周期,SZZQ
000064.XSHG,非周期,FZQ
000065,北方国际,BFGJ
000065.XSHG,上证龙头,SZLT
000066,中国长城,ZGCC
000066.XSHG,上证商品,SZSP
000067.XSHG,上证新兴,SZXX
000068,华控赛格,HKSG
000068.XSHG,上证资源,SZZY
000069,华侨城A,HQCA
000069.XSHG,消费80,XF80
000070,特发信息,TFXX
000070.XSHG,能源等权,NYDQ
000071.XSHG,材料等权,CLDQ
000072.XSHG,工业等权,GYDQ
000073.XSHG,可选等权,KXDQ
