代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
301068,大地海洋,37.78,1.89,0.04,514217.0,22.78,57.43,3173520000.0,1497829394.0,53.83,48.62,140.0,37.78,30.77,30.77,37.08
688343,N云天-U,126.0,186.89,3.47,313217645.0,4.13,-102.65,44746848720.0,9390910536.0,186.89,186.89,25836.0,127.0,121.0,121.0,43.92
688535,N华海,62.5,78.57,3.87,38196386.0,4.13,122.34,5043528313.0,1027067938.0,78.57,78.57,6358.0,63.0,60.0,60.02,35.0
301093,华兰股份,33.1,9.24,0.13,4058835.0,3.44,43.98,4494538678.0,3192124975.0,30.31,23.0,1258.0,33.2,32.0,32.0,30.3
301052,果麦文化,35.35,0.28,0.63,11853613.0,3.33,63.0,2570695021.0,1947600013.0,58.81,53.7,3451.0,35.35,34.21,34.21,35.25
300002,神州泰岳,10.72,2.29,0.48,89420523.42,3.28,38.36,21022906068.0,18920243300.0,147.0,137.69,85597.0,10.77,10.33,10.38,10.48
300846,首都在线,18.96,3.21,1.35,80266994.0,3.04,-46.82,8850960971.0,6084868843.0,94.86,83.37,43313.0,18.98,18.4,18.4,18.37
002558,巨人网络,14.49,2.55,0.3,83501497.73,3.65,28.09,29051537246.0,29051537246.0,82.04,78.23,59335.0,14.53,13.91,13.98,14.13
600975,新五丰,11.72,3.08,0.35,26427346.0,3.53,-62.33,12616336646.0,7649357844.0,64.84,65.54,23120.0,11.72,11.32,11.32,11.37
002777,久远银海,32.67,4.88,0.27,34880927.15,3.48,72.42,13336908011.0,13028733404.0,117.8,103.42,10943.0,32.67,31.5,31.57,31.15
688031,星环科技-U,142.91,12.18,0.72,26095167.0,5.08,-63.5,17269539938.0,3793003607.0,57.04,41.5,1902.0,142.91,136.0,136.0,127.39
300813,泰林生物,41.88,5.12,0.38,6947686.0,3.61,43.71,3483210568.0,1880692470.0,-9.86,-10.32,1705.0,41.88,40.0,40.42,39.84
300803,指南针,60.97,1.62,0.24,55179976.36,3.34,72.19,24812988276.0,23873027321.0,33.36,31.4,9290.0,61.0,58.99,59.0,60.0
300364,中文在线,23.75,0.21,0.75,113318101.59,3.31,-105.61,17336065928.0,15438718518.0,139.42,130.36,49040.0,23.75,22.95,22.99,23.7
